region,prefecture,commune,population,population_partagee_avec,agences,agences_actives,agences_moov,agences_togocom,data_centers,points_mm,mm_moov,mm_togocom,mm_operateur_inconnu,population_fiable,hab_par_point_mm,points_mm_pour_10k_hab,dist_agence_km,agences_pour_100k_hab,D1_deficit_mm,D2_deficit_agences,D3_eloignement,D4_enjeu_demographique,DCPI,DCPI_rang,n_D1_deficit_mm,n_D2_deficit_agences,n_D3_eloignement,n_D4_enjeu_demographique,rang_DCPI
Maritime,Zio,Zio 2,96193,,0,0,0,0,0,81,55,57,19,True,1187.567901234568,8.420571143430395,7.171222311209421,0.0,1187.567901234568,-0.0,7.171222311209421,96193,36.96606160241713,66.45299145299145,13.171376368468469,100.0,11.858194904501888,25.250499828755597,50
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,317255,,7,7,1,6,0,446,291,428,18,True,711.3340807174887,14.05809207104695,0.775757605441835,2.2064270066665617,711.3340807174887,-2.2064270066665617,0.775757605441835,317255,36.66706088433628,45.128205128205124,7.1827112465928415,65.50104279943054,0.5791634870963648,89.96097969363352,51
Maritime,Vo,Vo 4,46499,,0,0,0,0,0,113,110,87,3,True,411.4955752212389,24.30159788382546,18.435538294346426,0.0,411.4955752212389,-0.0,18.435538294346426,46499,36.09540907539832,51.623931623931625,3.412226407630618,100.0,31.723924716880987,10.703799869444437,52
Maritime,Lacs,Lacs 4,37222,,0,0,0,0,0,86,73,60,13,True,432.8139534883721,23.10461554994358,18.664750754701018,0.0,432.8139534883721,-0.0,18.664750754701018,37222,35.73376981982759,50.21367521367521,3.6803061257924097,100.0,32.128163448629245,7.9881855996627795,53
Maritime,Lacs,Lacs 3,108176,,0,0,0,0,0,443,397,397,22,True,244.18961625282168,40.951782280727706,9.978332922743057,0.0,244.18961625282168,-0.0,9.978332922743057,108176,35.34635210663083,47.52136752136752,1.3083452509579543,100.0,16.80881072934839,28.758229245031718,54
Centrale,Sotouboua,Sotouboua 2,64187,,0,0,0,0,0,107,73,102,3,True,599.8785046728972,16.670042220387305,12.677330729026801,0.0,599.8785046728972,-0.0,12.677330729026801,64187,35.30284084447467,59.01709401709401,5.781151566996622,100.0,21.56875898222977,15.88152814409119,55
Kara,Binah,Binah 2,40160,,0,0,0,0,0,120,70,113,6,True,334.6666666666667,29.8804780876494,18.039755499422057,0.0,334.6666666666667,-0.0,18.039755499422057,40160,35.25995297634714,45.72649572649573,2.446098877013465,100.0,31.025922807122225,8.848213057312721,56
Savanes,Oti-Sud,Oti-Sud 1,106052,,1,1,0,1,0,120,92,96,10,True,883.7666666666667,11.31520386225625,12.70013264295064,0.942933655188021,883.7666666666667,-0.942933655188021,12.70013264295064,106052,35.14900808697083,59.44444444444444,9.351060004829826,85.2566036786985,21.6089724014817,28.136480327384177,57
Savanes,Tône,Tône 4,66577,,0,0,0,0,0,175,115,103,42,True,380.44,26.28535380086216,12.709889113651712,0.0,380.44,-0.0,12.709889113651712,66577,34.6292834113071,52.94871794871795,3.0217009301135334,100.0,21.626178897744772,16.581142039184233,58
Savanes,Tône,Tône 2,50179,,0,0,0,0,0,76,61,60,2,True,660.25,15.145778114350623,12.437897032841137,0.0,660.25,-0.0,12.437897032841137,50179,34.60492733078996,57.350427350427346,6.540326268256487,100.0,21.146494095171885,11.781029632600251,59
Maritime,Vo,Vo 2,24396,,0,0,0,0,0,52,48,26,3,True,469.1538461538461,21.31496966715855,17.26840809863128,0.0,469.1538461538461,-0.0,17.26840809863128,24396,34.504316310544645,46.45299145299145,4.137282170673337,100.0,29.66557575377873,4.233688604489823,60
Centrale,Tchaoudjo,Tchaoudjo 2,24891,,0,0,0,0,0,45,34,37,8,True,553.1333333333333,18.07882367120646,16.429896938081093,0.0,553.1333333333333,-0.0,16.429896938081093,24891,34.48041082346768,48.03418803418803,5.193328600300567,100.0,28.18677880018728,4.3785877166534455,61
Maritime,Bas-Mono,Bas-Mono 2,39478,,0,0,0,0,0,34,30,26,0,True,1161.1176470588234,8.612391711839505,9.152945321662527,0.0,1161.1176470588234,-0.0,9.152945321662527,39478,34.41963338517983,57.22222222222222,12.838763043200979,100.0,15.353158464434996,8.648574280553953,62
Savanes,Cinkassé,Cinkassé 2,52967,,0,0,0,0,0,76,59,70,0,True,696.9342105263158,14.348556648479242,10.345008075930231,0.0,696.9342105263158,-0.0,10.345008075930231,52967,33.98378890420288,57.35042735042735,7.0016321281888185,100.0,17.455478448279028,12.597148268382426,63
